species;la;sla;wd
Cinnamomum amoenum;8,076500000;69,25967974;0,409941833
Persea americana;87,960000000;109,95248970;0,538000000
Cryptocarya aschersoniana;118,290000000;150,71000000;0,619000000
Drimys brasiliensis;16,745615380;64,15973602;0,397815086
Drimys angustifolia;5,673154688;92,50104934;0,548054847
Cinnamodendron dinisii;14,305732920;85,99834763;0,528924245
Podocarpus lambertii;1,737600000;106,80073640;0,467238422
Araucaria angustifolia;1,714306795;79,81766906;0,531985319
Pinus taeda;2,622200000;87,56767302;0,377392096
Pinus elliottii;3,875800000;42,26946829;0,410250724
